Time_Index,natural_gas,nuclear,solar_pv,distributed_solar,onshore_wind,offshore_wind,battery,clean_firm,coal,hydro
1,1,1,0,0,0.4493,1,1,1,1,0.3502
2,1,1,0,0,0.3804,1,1,1,1,0.3583
3,1,1,0,0,0.3983,0.7589,1,1,1,0.3574
4,1,1,0,0,0.3556,0.4628,1,1,1,0.3603
5,1,1,0,0,0.2384,0.2676,1,1,1,0.3557
6,1,1,0,0,0.2068,0.1292,1,1,1,0.3447
7,1,1,0,0,0.2091,0.0711,1,1,1,0.3464
8,1,1,0,0,0.2981,0.0386,1,1,1,0.3511
9,1,1,0.2517,0.1798,0.3624,0.0521,1,1,1,0.3530
10,1,1,0.5865,0.4189,0.0447,0.068,1,1,1,0.3516
11,1,1,0.803,0.5736,0.0531,0.0819,1,1,1,0.3468
12,1,1,0.9341,0.6672,0.1025,0.2244,1,1,1,0.3455
13,1,1,0.9408,0.672,0.1917,0.4864,1,1,1,0.3469
14,1,1,0.8659,0.6185,0.3802,0.8572,1,1,1,0.3484
15,1,1,0.7052,0.5037,0.3631,0.9424,1,1,1,0.3524
16,1,1,0.5555,0.3968,0.4335,1,1,1,1,0.3627
17,1,1,0.2377,0.1698,0.3693,1,1,1,1,0.4516
18,1,1,0,0,0.9814,0.9492,1,1,1,0.8188
19,1,1,0,0,0.9305,1,1,1,1,0.8595
20,1,1,0,0,0.8416,1,1,1,1,0.8702
21,1,1,0,0,0.8507,1,1,1,1,0.8172
22,1,1,0,0,0.8956,1,1,1,1,0.8961
23,1,1,0,0,0.8629,1,1,1,1,0.9134
24,1,1,0,0,0.943,1,1,1,1,0.8793
25,1,1,0,0,0.9435,1,1,1,1,0.3502
26,1,1,0,0,0.9526,1,1,1,1,0.3583
27,1,1,0,0,0.9712,1,1,1,1,0.3574
28,1,1,0,0,0.9792,1,1,1,1,0.3603
29,1,1,0,0,0.9761,1,1,1,1,0.3557
30,1,1,0,0,0.9832,1,1,1,1,0.3447
31,1,1,0,0,0.9788,1,1,1,1,0.3464
32,1,1,0,0,0.9465,1,1,1,1,0.3511
33,1,1,0.271,0.1936,0.9668,1,1,1,1,0.3530
34,1,1,0.6042,0.4316,0.9642,1,1,1,1,0.3516
35,1,1,0.8351,0.5965,0.9956,1,1,1,1,0.3468
36,1,1,0.9618,0.687,0.9928,1,1,1,1,0.3455
37,1,1,0.923,0.6593,0.994,1,1,1,1,0.3469
38,1,1,0.8144,0.5817,0.9518,1,1,1,1,0.3484
39,1,1,0.6399,0.4571,0.9972,0.9725,1,1,1,0.3524
40,1,1,0.4855,0.3468,0.985,1,1,1,1,0.3627
41,1,1,0.233,0.1664,0.9159,1,1,1,1,0.4516
42,1,1,0,0,0.8399,1,1,1,1,0.8188
43,1,1,0,0,0.8868,1,1,1,1,0.8595
44,1,1,0,0,0.7843,1,1,1,1,0.8702
45,1,1,0,0,0.8834,1,1,1,1,0.8172
46,1,1,0,0,0.8139,1,1,1,1,0.8961
47,1,1,0,0,0.8574,1,1,1,1,0.9134
48,1,1,0,0,0.7918,0.8472,1,1,1,0.8793
49,1,1,0,0,0.8581,1,1,1,1,0.3655
50,1,1,0,0,0.851,1,1,1,1,0.3631
51,1,1,0,0,0.827,1,1,1,1,0.3613
52,1,1,0,0,0.8664,1,1,1,1,0.3565
53,1,1,0,0,0.8658,1,1,1,1,0.3623
54,1,1,0,0,0.9007,1,1,1,1,0.3646
55,1,1,0,0,0.9267,1,1,1,1,0.3647
56,1,1,0,0,0.9265,1,1,1,1,0.3648
57,1,1,0.2636,0.1883,0.9794,1,1,1,1,0.3524
58,1,1,0.5967,0.4262,0.9503,1,1,1,1,0.2962
59,1,1,0.7979,0.5699,0.9058,1,1,1,1,0.2988
60,1,1,0.8656,0.6183,0.9507,1,1,1,1,0.2889
61,1,1,0.9236,0.6597,0.9783,1,1,1,1,0.2864
62,1,1,0.8652,0.618,0.9926,1,1,1,1,0.2962
63,1,1,0.7892,0.5637,0.9722,1,1,1,1,0.3525
64,1,1,0.6245,0.4461,0.9917,1,1,1,1,0.3628
65,1,1,0.3188,0.2277,0.9707,1,1,1,1,0.3498
66,1,1,0,0,0.977,1,1,1,1,0.3456
67,1,1,0,0,0.9456,1,1,1,1,0.3439
68,1,1,0,0,0.9298,1,1,1,1,0.3488
69,1,1,0,0,0.8626,1,1,1,1,0.3557
70,1,1,0,0,0.8892,1,1,1,1,0.3603
71,1,1,0,0,0.8134,1,1,1,1,0.3606
72,1,1,0,0,0.7799,1,1,1,1,0.3600
73,1,1,0,0,0.8165,1,1,1,1,0.3655
74,1,1,0,0,0.7985,1,1,1,1,0.3631
75,1,1,0,0,0.7778,1,1,1,1,0.3613
76,1,1,0,0,0.667,1,1,1,1,0.3565
77,1,1,0,0,0.639,1,1,1,1,0.3623
78,1,1,0,0,0.6565,1,1,1,1,0.3646
79,1,1,0,0,0.7157,1,1,1,1,0.3647
80,1,1,0,0,0.7351,0.9195,1,1,1,0.3648
81,1,1,0.265,0.1893,0.6145,0.846,1,1,1,0.3524
82,1,1,0.5484,0.3917,0.5829,1,1,1,1,0.2962
83,1,1,0.7993,0.5709,0.4892,1,1,1,1,0.2988
84,1,1,0.9125,0.6518,0.1856,1,1,1,1,0.2889
85,1,1,0.8771,0.6265,0.1379,1,1,1,1,0.2864
86,1,1,0.8208,0.5863,0.1006,0.8617,1,1,1,0.2962
87,1,1,0.7708,0.5506,0.1053,0.7456,1,1,1,0.3525
88,1,1,0.4228,0.302,0.1036,0.5794,1,1,1,0.3628
89,1,1,0.0902,0.0644,0.1202,0.521,1,1,1,0.3498
90,1,1,0,0,0.4083,0.3262,1,1,1,0.3456
91,1,1,0,0,0.4369,0.4472,1,1,1,0.3439
92,1,1,0,0,0.4906,0.7846,1,1,1,0.3488
93,1,1,0,0,0.5149,0.5209,1,1,1,0.3557
94,1,1,0,0,0.5944,0.2515,1,1,1,0.3603
95,1,1,0,0,0.6388,0.5031,1,1,1,0.3606
96,1,1,0,0,0.5682,0.8103,1,1,1,0.3600
97,1,1,0,0,0.5998,0.8076,1,1,1,0.3395
98,1,1,0,0,0.5979,0.8641,1,1,1,0.3362
99,1,1,0,0,0.5706,0.627,1,1,1,0.3359
100,1,1,0,0,0.6573,0.9468,1,1,1,0.3359
101,1,1,0,0,0.6403,0.7398,1,1,1,0.3380
102,1,1,0,0,0.5666,0.6479,1,1,1,0.3298
103,1,1,0,0,0.512,0.4375,1,1,1,0.3162
104,1,1,0,0,0.5146,0.4064,1,1,1,0.6599
105,1,1,0.0945,0.0675,0.5047,0.647,1,1,1,0.6085
106,1,1,0.4095,0.2925,0.5224,0.8021,1,1,1,0.6085
107,1,1,0.553,0.395,0.5269,0.734,1,1,1,0.6085
108,1,1,0.6705,0.4789,0.7134,0.4678,1,1,1,0.6085
109,1,1,0.7816,0.5583,0.766,0.5424,1,1,1,0.5423
110,1,1,0.7596,0.5426,0.8362,0.6741,1,1,1,0.4470
111,1,1,0.6166,0.4404,0.8398,0.9938,1,1,1,0.5118
112,1,1,0.5095,0.3639,0.915,1,1,1,1,0.5400
113,1,1,0.2486,0.1776,0.8429,1,1,1,1,0.5642
114,1,1,0,0,0.795,1,1,1,1,0.5867
115,1,1,0,0,0.5807,1,1,1,1,0.5933
116,1,1,0,0,0.461,0.8385,1,1,1,0.5807
117,1,1,0,0,0.3732,0.5952,1,1,1,0.5668
118,1,1,0,0,0.0512,0.7616,1,1,1,0.5350
119,1,1,0,0,0.2247,0.187,1,1,1,0.5228
120,1,1,0,0,0.26,0.082,1,1,1,0.6077
121,1,1,0,0,0.3793,0.1073,1,1,1,0.3395
122,1,1,0,0,0.4206,0.1292,1,1,1,0.3362
123,1,1,0,0,0.4781,0.0673,1,1,1,0.3359
124,1,1,0,0,0.7244,0.0811,1,1,1,0.3359
125,1,1,0,0,0.6898,0.1104,1,1,1,0.3380
126,1,1,0,0,0.7208,0.282,1,1,1,0.3298
127,1,1,0,0,0.7878,0.4997,1,1,1,0.3162
128,1,1,0,0,0.8183,1,1,1,1,0.6599
129,1,1,0.1485,0.1061,0.8037,1,1,1,1,0.6085
130,1,1,0.4935,0.3525,0.798,1,1,1,1,0.6085
131,1,1,0.6905,0.4932,0.714,1,1,1,1,0.6085
132,1,1,0.7189,0.5135,0.7481,1,1,1,1,0.6085
133,1,1,0.7725,0.5518,0.7695,1,1,1,1,0.5423
